Date,Opponent,Location,Result,German Goals,Opponent Goals,Ref Nation
2003-06-01,Canada,Germany,W,4,1,France
2003-06-07,Scotland,Scotland,D,1,1,Italy
2003-06-11,Faroe Islands,Faroe Islands,W,2,0,Netherlands
2003-08-20,Italy,Germany,L,0,1,Denmark
2003-09-06,Iceland,Iceland,D,0,0,England
2003-09-10,Scotland,Germany,W,2,1,Sweden
2003-10-11,Iceland,Germany,W,3,0,Russia
2003-11-15,France,Germany,L,0,3,Italy
2004-02-18,Croatia,Croatia,W,2,1,Sweden
2004-03-31,Belgium,Germany,W,3,0,Netherlands
2004-04-28,Romania,Romania,L,1,5,Italy
2004-05-27,Malta,Germany,W,7,0,Slovakia
2004-06-02,Switzerland,Switzerland,W,2,0,Italy
2004-06-06,Hungary,Germany,L,0,2,England
2004-06-15,Netherlands,Portugal,D,1,1,Sweden
2004-06-19,Latvia,Portugal,D,0,0,England
2004-06-23,Czech Republic,Portugal,L,1,2,Norway
2004-08-18,Austria,Austria,W,3,1,Italy
2004-09-08,Brazil,Germany,D,1,1,Switzerland
2004-10-09,Iran,Iran,W,2,0,Kuwait
2004-11-17,Cameroon,Germany,W,3,0,Italy
2004-12-16,Japan,Japan,W,3,0,Australia
2004-12-19,South Korea,South Korea,L,1,3,Malaysia
2004-12-21,Thailand,Thailand,W,5,1,Singapore
2005-02-09,Argentina,Germany,D,2,2,Italy
2005-03-26,Slovenia,Slovenia,W,1,0,England
2005-06-04,Northern Ireland,Northern Ireland,W,4,1,Scotland
2005-06-08,Russia,Germany,D,2,2,Austria
2005-06-15,Australia,Germany,W,4,3,Paraguay
2005-06-18,Tunisia,Germany,W,3,0,Jamaica
2005-06-21,Argentina,Germany,D,2,2,Slovakia
2005-06-25,Brazil,Germany,L,2,3,Chile
2005-06-29,Mexico,Germany,W,4,3,Australia
2005-08-17,Netherlands,Netherlands,D,2,2,Norway
2005-09-03,Slovakia,Slovakia,L,0,2,Netherlands
2005-09-07,South Africa,Germany,W,4,2,Poland
2005-10-08,Turkey,Turkey,L,1,2,Italy
2005-10-12,China PR,Germany,W,1,0,Portugal
2005-11-12,France,France,D,0,0,England
2006-03-01,Italy,Italy,L,1,4,Spain
2006-03-22,United States,Germany,W,4,1,Sweden
2006-05-27,Luxembourg,Germany,W,7,0,Switzerland
2006-05-30,Japan,Germany,D,2,2,Greece
2006-06-02,Colombia,Germany,W,3,0,Norway
2006-06-09,Costa Rica,Germany,W,4,2,Argentina
2006-06-14,Poland,Germany,W,1,0,Spain
2006-06-20,Ecuador,Germany,W,3,0,Russia
2006-06-24,Sweden,Germany,W,2,0,Brazil
2006-06-30,Argentina,Germany,W,4,2,Slovakia
2006-07-04,Italy,Germany,L,0,2,Mexico
2006-07-08,Portugal,Germany,W,3,1,Japan
2006-08-16,Sweden,Germany,W,3,0,Italy
2006-09-02,Republic of Ireland,Germany,W,1,0,Spain
2006-09-06,San Marino,San Marino,W,13,0,Turkey
2006-10-07,Georgia,Germany,W,2,0,Austria
2006-10-11,Slovakia,Slovakia,W,4,1,Norway
2006-11-15,Cyprus,Cyprus,D,1,1,Sweden
2007-02-07,Switzerland,Germany,W,3,1,Netherlands
2007-03-24,Czech Republic,Czech Republic,W,2,1,Italy
2007-03-28,Denmark,Germany,L,0,1,England
2007-06-02,San Marino,Germany,W,6,0,Finland
2007-06-06,Slovakia,Germany,W,2,1,Portugal
2007-08-22,England,England,W,2,1,Switzerland
2007-09-08,Wales,Wales,W,2,0,Spain
2007-09-12,Romania,Germany,W,3,1,Italy
2007-10-13,Republic of Ireland,Ireland,D,0,0,Sweden
2007-10-17,Czech Republic,Germany,L,0,3,England
2007-11-17,Cyrpus,Germany,W,4,0,Denmark
2007-11-21,Wales,Germany,D,0,0,Romania
2008-02-06,Austria,Austria,W,3,0,Italy
2008-03-26,Switzerland,Switzerland,W,4,0,Netherlands
2008-05-27,Belarus,Germany,D,2,2,Slovenia
2008-05-31,Serbia and Montenegro,Germany,W,2,1,France
2008-06-08,Poland,Austria,W,2,0,Norway
2008-06-12,Croatia,Austria,L,1,2,Belgium
2008-06-16,Austria,Austria,W,1,0,Spain
2008-06-19,Portugal,Switzerland,W,3,2,Sweden
2008-06-25,Turkey,Switzerland,W,3,2,Switzerland
2008-06-29,Spain,Austria,L,0,1,Italy
2008-08-20,Belgium,Germany,W,2,0,Denmark
2008-09-06,Liechtenstein,Liechtenstein,W,6,0,Portugal
2008-09-10,Finland,Finland,D,3,3,Hungary
2008-10-11,Russia,Germany,W,2,1,Sweden
2008-10-15,Wales,Germany,W,1,0,France
2008-11-19,England,Germany,L,1,2,Switzerland
2009-02-11,Norway,Germany,L,0,1,Austria
2009-03-28,Liechtenstein,Germany,W,4,0,Ukraine
2009-04-01,Wales,Wales,W,2,0,Norway
2009-05-29,China PR,China,D,1,1,South Korea
2009-06-02,United Arab Emirates,United Arab Emirates,W,7,2,Jordan
2009-08-12,Azerbaijan,Azerbaijan,W,2,0,Ireland
2009-09-05,South Africa,Germany,W,2,0,Switzerland
2009-09-09,Azerbaijan,Germany,W,4,0,Greece
2009-10-10,Russia,Russia,W,1,0,Switzerland
2009-10-14,Finland,Germany,D,1,1,England
2009-11-18,Ivory Coast,Germany,D,2,2,Netherlands
2010-03-03,Argentina,Germany,L,0,2,England
2010-05-13,Malta,Germany,W,3,0,Luxembourg
2010-05-29,Hungary,Hungary,W,3,0,Denmark
2010-06-03,Bosnia and Herzegovina,Germany,W,3,1,Italy
2010-06-13,Australia,South Africa,W,4,0,Mexico
2010-06-18,Serbia,South Africa,L,0,1,Spain
